epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
62,2271.72,0.63153,0.77385,0.96684,0.8173,0.80462,0.87203,0.75944,0.59807,0.63939,0.8845,0.0003961,0.0003961,0.0003961
63,2304.99,0.62916,0.77408,0.96804,0.80237,0.82156,0.88065,0.7616,0.60131,0.63783,0.88438,0.0003862,0.0003862,0.0003862
64,2337.98,0.62149,0.7631,0.95886,0.7805,0.77185,0.85523,0.74527,0.59775,0.66612,0.88419,0.0003763,0.0003763,0.0003763
65,2370.76,0.63165,0.75996,0.96703,0.80035,0.77725,0.85393,0.74261,0.59501,0.68792,0.88102,0.0003664,0.0003664,0.0003664
66,2403.44,0.62446,0.77319,0.9693,0.7909,0.81778,0.87606,0.76116,0.59246,0.63617,0.88381,0.0003565,0.0003565,0.0003565
67,2436.25,0.63391,0.77979,0.96585,0.75077,0.83474,0.87863,0.76642,0.58603,0.63099,0.87421,0.0003466,0.0003466,0.0003466
68,2467.46,0.62819,0.75205,0.96756,0.82778,0.78868,0.88432,0.77026,0.58386,0.63887,0.87672,0.0003367,0.0003367,0.0003367
69,2500.58,0.62792,0.7667,0.96663,0.80191,0.80673,0.88276,0.76853,0.5877,0.64456,0.87493,0.0003268,0.0003268,0.0003268
70,2531.83,0.62521,0.75708,0.96791,0.81243,0.81174,0.89004,0.77225,0.59112,0.65385,0.87171,0.0003169,0.0003169,0.0003169
71,2563.9,0.63025,0.75263,0.96603,0.78919,0.81874,0.87876,0.7623,0.60292,0.6582,0.87732,0.000307,0.000307,0.000307
72,2596.26,0.62046,0.74378,0.96312,0.74751,0.85939,0.86904,0.75879,0.59094,0.66608,0.87619,0.0002971,0.0002971,0.0002971
73,2627.69,0.60319,0.73431,0.9611,0.80467,0.83796,0.88696,0.77348,0.59045,0.6215,0.88098,0.0002872,0.0002872,0.0002872
74,2661.1,0.60872,0.72798,0.95835,0.80101,0.84418,0.89185,0.77368,0.58681,0.61304,0.87327,0.0002773,0.0002773,0.0002773
75,2692.58,0.61457,0.72382,0.96295,0.84947,0.79945,0.89767,0.78128,0.58788,0.61308,0.87385,0.0002674,0.0002674,0.0002674
76,2724.6,0.61693,0.72315,0.96503,0.77725,0.8477,0.88788,0.77449,0.58711,0.62582,0.87082,0.0002575,0.0002575,0.0002575
77,2757.05,0.62037,0.72458,0.96075,0.7892,0.85294,0.89395,0.77827,0.58754,0.61439,0.86988,0.0002476,0.0002476,0.0002476
